,gid,uid,nutrition_subgroup,food_type,description,weight,unit,ingredients,project_name,rgbd_file_names,nutrition_facts_sources,quality,quality_comments,merged,started,finished,qa,texture_sources,textured,start
1,3,b016d3fa-2d24-4d2e-8631-e70bb525636c,stawberries,strawberry,"the smallest strawberry we could find, yellow lamp lighting used for capture, white light turned off",10.0,g,,Project09152023161150,"['3_strawberry_0_0', '3_strawberry_0_1']",,2.0,"Slight discoloration, one of the petals not correctly aligned",,,,"[{'done': True, 'rgbd_files_present': True, 'model_quality_acceptable': True, 'rgbd_quality_acceptable': True, 'ingredients_acceptable': True, 'comments': 'RGBD files: no unique-frame markers, distance to object a little bit too large, which might impact resolution\nof the object itself\nModel quality: minor misalignments on the leaves but acceptable in quality\n', 'model_merge_required': False, 'model_texture_required': True, 'accepted': True}]",,,
4,11,b82ec78b-6853-42f6-9549-456c65241a43,poultry,chicken nugget,3 pieces with different shapes,45.0,g,,Project09242023171543,"['11_chickennugget_0_0', '11_chickennugget_0_1']",['IMG_3969'],2.0,"merging was difficult because of similar top and bottom of chicken nugget. 1 nugget merged succesfully, the other 2 had bottom holes that were filled with the software.",True,17:10:43,17:27:34,"[{'done': True, 'rgbd_files_present': False, 'model_quality_acceptable': False, 'rgbd_quality_acceptable': True, 'ingredients_acceptable': True, 'comments': 'RGBD files: missing\nModel quality: 3 nuggets in one capture? This is wrong.\nI cannot even trust the weight assessment of this, because\nI can bet the 3 nuggets were measured together.\nThis is a full-reject, downright.\n', 'model_merge_required': True, 'model_texture_required': True, 'accepted': False, 'unsalvageable': True}]",,,
5,37,008cbe60-bdb5-4bc4-a5c0-2f4fafef791d,meats,pork ribs,"Half rack pork back ribs maple bacon, cold - whole rack",331.0,g,[],Project11262023131536,"['37_porkribs_1_0', '37_porkribs_1_1']","['IMG_7129', 'IMG_7130']",2.0,"good scan, merged very well",True,13:20:16,13:51:55,"[{'done': True, 'rgbd_files_present': True, 'model_quality_acceptable': True, 'rgbd_quality_acceptable': True, 'ingredients_acceptable': True, 'comments': 'RGBD files: very good\nModel quality:  very good\n', 'model_merge_required': False, 'model_texture_required': True, 'accepted': True}]","['IMG_7122', 'IMG_7123', 'IMG_7125', 'IMG_7126', 'IMG_7127', 'IMG_7128']",False,
6,34,4bde60e0-db4c-4150-9cd8-58c835dd0c10,poultry,chicken breast,skin on chicken breast detached from roasted whole chicken,168.0,g,,Project10232023160951,"['34_chickenbreast_2_0', '34_chickenbreast_2_1']",['IMG_6874'],2.0,"texture and shape captured well, need to merge on meshlab",False,16:18:30,16:47:12,"[{'done': True, 'rgbd_files_present': True, 'model_quality_acceptable': True, 'rgbd_quality_acceptable': True, 'ingredients_acceptable': True, 'comments': 'RGBD files: very good\nModel quality:  requires merging\n', 'model_merge_required': True, 'model_texture_required': True, 'accepted': False}]",,,
7,38,ea46368c-3808-49a2-b9ee-12222cf8c468,cakes and pies,pies,A quarter of Compliments apple pie with no artificial flavours,187.0,g,[],Project10282023174134,"['38_applepie_0_0', '38_applepie_0_1']","['IMG_6900', 'IMG_6901', 'IMG_6902']",2.0,Overall good quality scan - can clearly see apples inside but couldn't merge,False,17:06:57,18:09:17,"[{'done': True, 'rgbd_files_present': True, 'model_quality_acceptable': True, 'rgbd_quality_acceptable': True, 'ingredients_acceptable': True, 'comments': 'RGBD files: very good\nModel quality:  requires merging\n', 'model_merge_required': True, 'model_texture_required': True, 'accepted': False}]",,,
12,52,9bbace69-1cb4-486d-90b8-23de6edb83d3,tortilla and corn chips,tortilla and corn chips,pile of organic gluten free salted stone ground tortilla chips,22.0,g,[],Project11192023151834,['52_tortillacornchips_0'],['IMG_7087'],2.0,couldn't scan the bottom view but scanned the texture well,False,15:02:33,15:43:33,"[{'done': True, 'rgbd_files_present': True, 'model_quality_acceptable': True, 'rgbd_quality_acceptable': True, 'ingredients_acceptable': True, 'comments': 'RGBD files: very good\nModel quality:  requires merging\n', 'model_merge_required': True, 'model_texture_required': True, 'accepted': False}]","['IMG_7088', 'IMG_7089', 'IMG_7090', 'IMG_7091', 'IMG_7092']",True,
13,22,412944e9-6f46-4f16-98f5-cd2dd157405f,broccoli,broccoli,whole bunch of raw broccoli,251.0,g,,Project10082023152626,"['22_broccoli_2_0', '22_broccoli_2_1']",['IMG_4041'],3.0,great merge. Some spottiness texture. Some holes were left unfilled (as the broccoli is porous and the holes make sense).,,14:26:48,15:40:06,"[{'done': True, 'rgbd_files_present': True, 'model_quality_acceptable': True, 'rgbd_quality_acceptable': True, 'ingredients_acceptable': True, 'comments': 'RGBD files: very good\nModel quality: very good\n', 'model_merge_required': False, 'model_texture_required': True, 'accepted': True}]",,,
15,56,77431646-01bc-4105-9c26-930adf935331,meat mixed dishes,meatloaf,slice of meatloaf,89.0,g,[],Project11262023161908,"['56_meatloaf_1_0', '56_meatloaf_1_1']","['IMG_7163', 'IMG_7164']",3.0,incredible scan,True,16:18:01,16:29:12,"[{'done': True, 'rgbd_files_present': True, 'model_quality_acceptable': True, 'rgbd_quality_acceptable': True, 'ingredients_acceptable': True, 'comments': 'RGBD files: very good\nModel quality:  very good\n', 'model_merge_required': False, 'model_texture_required': True, 'accepted': True}]","['IMG_7171', 'IMG_7172', 'IMG_7173', 'IMG_7174', 'IMG_7175', 'IMG_7176']",False,
16,33,5184850f-5fde-448c-9fa0-9cf06d61c4ee,poultry,chicken wing,detached chicken wing from roasted chicken,32.0,g,,Project10232023170124,"['33_chickenwing_2_0', '33_chickenwing_2_1']",['IMG_6874'],2.0,"texture and shape captured well, need to merge on meshlab",False,16:57:55,17:08:33,"[{'done': True, 'rgbd_files_present': True, 'model_quality_acceptable': False, 'rgbd_quality_acceptable': True, 'ingredients_acceptable': True, 'requires_nutritional_facts_imputation': True, 'comments': 'RGBD files: ok\nModel quality: Merge required\n', 'model_merge_required': True, 'model_texture_required': True, 'accepted': False}]",,,
17,55,f0aa3a66-7b90-4e00-9a5c-ae1e8b5b185f,fried rice and lo/chow mein,fried rice,vegetable fried rice,73.0,g,[],Project11262023153635,['55_friedrice_1_0'],"['IMG_7159', 'IMG_7160']",2.0,"decent scan, hole filling is alright",True,15:29:00,15:44:12,"[{'done': True, 'rgbd_files_present': False, 'model_quality_acceptable': True, 'rgbd_quality_acceptable': True, 'ingredients_acceptable': True, 'comments': 'RGBD files: missing\nModel quality:  very good\n', 'model_merge_required': False, 'model_texture_required': True, 'accepted': False}]",['IMG_7162'],False,
18,24,bd4964f4-a5c6-4c5a-942c-a9b619c7ab5b,other vegetables and combinations,avocado,whole round green unripe avocado with green sticker,210.0,g,,Project10082023173343,"['24_avocado_0_0', '24_avocado_0_1']",['IMG_4043'],3.0,"great merge using sticker. Complete avocado, but with different colour patches.",,17:38:02,18:04:32,"[{'done': True, 'rgbd_files_present': True, 'model_quality_acceptable': True, 'rgbd_quality_acceptable': True, 'ingredients_acceptable': True, 'comments': 'RGBD files: very good\nModel quality:  very good\n', 'model_merge_required': False, 'model_texture_required': True, 'accepted': True}]",,,
21,31,8fde2475-c772-4854-922e-c455a2e28a0e,poultry,whole chicken,"grain-fed, raised without antibiotics whole roasted chicken, hot ",1204.0,g,,Project10222023153242,"['31_chicken_1_0', '31_chicken_1_1', '31_chicken_1_2', '31_chicken_1_3']",['IMG_6835'],3.0,"good chicken, but had to fill some holes on surface (alignment problems, only could use 2 scans)",,15:01:30,16:02:18,"[{'done': True, 'rgbd_files_present': True, 'model_quality_acceptable': True, 'rgbd_quality_acceptable': True, 'ingredients_acceptable': True, 'comments': 'RGBD files: very good\nModel quality:  very good\n', 'model_merge_required': False, 'model_texture_required': True, 'accepted': True}]",,,
24,44,3a9d0eb7-8606-4f27-916d-eaba98691e17,yeast breads,yeast bread,"whole loaf of italian-style crispy yeast bread, oblong in shape",466.0,g,[],Project11052023153759,"['44_yeastbread_0_0', '44_yeastbread_0_1']",['IMG_6926'],2.0,"good scans but had shadows due to lighting, which resulted in discolouration in merge.",,14:15:45,15:56:05,"[{'done': True, 'rgbd_files_present': True, 'model_quality_acceptable': True, 'rgbd_quality_acceptable': True, 'ingredients_acceptable': True, 'comments': 'RGBD files: very good\nModel quality:  very good\n', 'model_merge_required': False, 'model_texture_required': True, 'accepted': True}]",,,
