,gid,uid,nutrition_subgroup,food_type,description,weight,unit,ingredients,project_name,rgbd_file_names,nutrition_facts_sources,quality,quality_comments,merged,started,finished,qa,texture_sources,textured,start
19,16,cd8d9ac0-e4b4-4e7e-8833-a40ddcec100f,plant-based protein foods,"almond, singular",,0.7,g,,Project09282023152925,"['16_almond_0_0', '16_almond_0_1']",[],1.0,still a work in progress... terrible captures,,15:53:48,15:54:49,"[{'done': True, 'rgbd_files_present': True, 'model_quality_acceptable': False, 'rgbd_quality_acceptable': True, 'ingredients_acceptable': True, 'comments': 'RGBD files: very good\nModel quality: requires merge\n', 'model_merge_required': True, 'model_texture_required': True, 'accepted': False}]",,,
20,4,2c0dc051-5c03-4cf2-8603-04d48070f61f,carrots,baby carrot,,8.0,g,,Project09292023181342,"['4_carrot_4_0', '4_carrot_4_1']",[],1.0,unable to get merge two halves of carrot,,18:20:08,18:51:43,"[{'done': True, 'rgbd_files_present': True, 'model_quality_acceptable': False, 'rgbd_quality_acceptable': True, 'ingredients_acceptable': True, 'comments': 'Model quality: not present\n', 'model_merge_required': False, 'model_texture_required': False, 'accepted': False}]",,,
55,9,06a87bc0-ffe3-43a7-b0e8-c422859721c9,tomatoes (whole),tomatoes (whole),,332.0,g,,Project09242023151551,"['9_tomato_2_0', '9_tomato_2_1']",['IMG_3967'],1.0,Couldn't get the side scan. Merge couldn't detect overlapping area.,,14:01:17,16:08:23,"[{'done': True, 'rgbd_files_present': False, 'model_quality_acceptable': False, 'rgbd_quality_acceptable': True, 'ingredients_acceptable': True, 'comments': 'RGBD files: not present, perhaps got lost in sync??\nModel quality: abhorrant. The tomato is halved and the bottom has been filled\nin as a hole. It might be a mis-export from RevoScan.\n', 'model_merge_required': True, 'model_texture_required': True, 'accepted': False}]",,,
92,25,24aff157-729d-4f37-b166-13a8768ff6ea,egg rolls dumplings sushi,sushi,"california roll with cucumber, crab meat, red caviar, avocado, rice, seaweed",26.0,g,,Project10162023161944,"['25_sushi_1_0', '25_sushi_1_1']",[],1.0,tracking lost because of scattered points and the merge didn't turn out well but tried marker based merge,,15:57:33,16:42:44,"[{'done': True, 'rgbd_files_present': False, 'model_quality_acceptable': False, 'rgbd_quality_acceptable': True, 'ingredients_acceptable': False, 'comments': 'RGBD files: missing, possibly due to sync issues?\nModel quality: terrible, misaligned, texture unacceptably poor\nIngredients list: not decomposed into individual ingredients\n', 'model_merge_required': True, 'model_texture_required': True, 'accepted': False}]",,,
111,4,5fa54b42-2631-4076-b43b-dece66f13e5b,carrots,carrot,baby carrots,13.0,g,,Project09172023112527,"['4_carrot_0_0', '4_carrot_0_0']",,1.0,"terrible quality, doesn't merge. need to try with toothpicks later",,,14:48:13,"[{'done': True, 'rgbd_files_present': True, 'model_quality_acceptable': False, 'rgbd_quality_acceptable': True, 'ingredients_acceptable': True, 'comments': 'Model quality: not merged, very sparse point cloud\n', 'model_merge_required': True, 'model_texture_required': True, 'accepted': False}]",,,14:24
115,61,74e6c5cc-bc31-4fd7-9403-c8360757c965,other mexican mixed dishes,quesadilla,"quarter-circular quesadilla with meat, veggies, and cheese",60.0,g,[],Project01312024203337,"['61_quesadilla_1_0', '61_quesadilla_1_1']",[],1.0,unable to merge scans due to poor quality,False,20:18:22,20:51:22,,"['IMG_7324', 'IMG_7325', 'IMG_7326', 'IMG_7327', 'IMG_7328', 'IMG_7329']",False,
117,64,5f6a403f-9133-4eac-bc27-2a0b66b46e87,french fries and other fried potatoes,hashbrowns,shredded hashbrowns in a pile,120.0,g,[],Project02022024183804,['64_hashbrowns_1'],[],1.0,"only a single scan, so merge is N/A",True,18:37:11,18:44:15,,"['IMG_4244', 'IMG_4245', 'IMG_4246', 'IMG_4247', 'IMG_4248']",False,
137,76,dd6af67d-a818-4c6d-82d0-bc5f1869b5a8,rice,rice,steamed white rice in a bowl,315.0,g,[],Project02142024225014,['74_rice_0_0'],[],1.0,"rice texture captured well, however unable to capture bowl adequately",False,17:43:57,18:34:19,,"['IMG_4321', 'IMG_4322', 'IMG_4323', 'IMG_4324', 'IMG_4325']",True,
143,25,5b14e1c7-4d5e-4826-ba40-8479c758a559,egg rolls dumplings sushi,sushi,sushi roll with salmon,12.0,g,,Project10162023170922,"['25_sushi_3_0', '25_sushi_3_0']",[],1.0,sparse points and merge failed,,16:49:59,17:50:25,"[{'done': True, 'rgbd_files_present': False, 'model_quality_acceptable': False, 'rgbd_quality_acceptable': True, 'ingredients_acceptable': False, 'comments': 'RGBD files: missing, possibly due to sync issues?\nModel quality: abhorrant misaligned, half-assed merge; very disappointing\nIngredients list: not decomposed into individual ingredients\n', 'model_merge_required': True, 'model_texture_required': True, 'accepted': False}]",,,
168,4,c2296aa8-f025-4a9f-ac41-2715fd1a46f1,carrots,carrot,regular carrot,129.0,g,,Project09172023114944,"['4_carrot_1_0', '4_carrot_1_1']",,1.0,"merge completed but unsuccessfully, bad shape. issue: carrot ends are facing the other way",,14:44:48,15:05:36,"[{'done': True, 'rgbd_files_present': True, 'model_quality_acceptable': False, 'rgbd_quality_acceptable': True, 'ingredients_acceptable': True, 'comments': 'Model quality: sparse, misaligned point-cloud, merge misaligned, not acceptable for the dataset\n', 'model_merge_required': False, 'model_texture_required': True, 'accepted': False}]",,,
